run_number,layers,heads,epochs,train_steps,context_length,embd_dim,batch_size,domain_config,domain_id,experiment_type,use_standard_dataset,debug_mode,status
261,2,1,400,400000,12,64,256,domains.ini,A,comparison,true,false,completed
262,2,1,400,400000,12,64,256,domains.ini,C,comparison,true,false,completed
263,2,1,400,400000,12,64,512,domains.ini,A,comparison,true,false,completed
264,2,1,400,400000,12,64,512,domains.ini,C,comparison,true,false,completed
265,2,1,400,400000,24,16,256,domains.ini,A,comparison,true,false,completed
266,2,1,400,400000,24,16,256,domains.ini,C,comparison,true,false,completed
267,2,1,400,400000,24,16,512,domains.ini,A,comparison,true,false,completed
268,2,1,400,400000,24,16,512,domains.ini,C,comparison,true,false,completed
269,2,1,400,400000,24,32,256,domains.ini,A,comparison,true,false,completed
270,2,1,400,400000,24,32,256,domains.ini,C,comparison,true,false,completed
271,2,1,400,400000,24,32,512,domains.ini,A,comparison,true,false,completed
272,2,1,400,400000,24,32,512,domains.ini,C,comparison,true,false,completed
273,2,1,400,400000,24,64,256,domains.ini,A,comparison,true,false,completed
274,2,1,400,400000,24,64,256,domains.ini,C,comparison,true,false,completed
275,2,1,400,400000,24,64,512,domains.ini,A,comparison,true,false,completed
276,2,1,400,400000,24,64,512,domains.ini,C,comparison,true,false,completed
277,2,1,400,400000,48,16,256,domains.ini,A,comparison,true,false,launched
278,2,1,400,400000,48,16,256,domains.ini,C,comparison,true,false,launched
279,2,1,400,400000,48,16,512,domains.ini,A,comparison,true,false,completed
280,2,1,400,400000,48,16,512,domains.ini,C,comparison,true,false,completed
281,2,1,400,400000,48,32,256,domains.ini,A,comparison,true,false,launched
282,2,1,400,400000,48,32,256,domains.ini,C,comparison,true,false,launched
283,2,1,400,400000,48,32,512,domains.ini,A,comparison,true,false,completed
284,2,1,400,400000,48,32,512,domains.ini,C,comparison,true,false,completed
285,2,1,400,400000,48,64,256,domains.ini,A,comparison,true,false,launched
286,2,1,400,400000,48,64,256,domains.ini,C,comparison,true,false,launched
287,2,1,400,400000,48,64,512,domains.ini,A,comparison,true,false,completed
288,2,1,400,400000,48,64,512,domains.ini,C,comparison,true,false,completed
289,2,2,400,100000,12,16,256,domains.ini,A,comparison,true,false,launched
290,2,2,400,100000,12,16,256,domains.ini,C,comparison,true,false,completed
291,2,2,400,100000,12,16,512,domains.ini,A,comparison,true,false,completed
292,2,2,400,100000,12,16,512,domains.ini,C,comparison,true,false,completed
293,2,2,400,100000,12,32,256,domains.ini,A,comparison,true,false,completed
294,2,2,400,100000,12,32,256,domains.ini,C,comparison,true,false,launched
295,2,2,400,100000,12,32,512,domains.ini,A,comparison,true,false,completed
296,2,2,400,100000,12,32,512,domains.ini,C,comparison,true,false,completed
297,2,2,400,100000,12,64,256,domains.ini,A,comparison,true,false,completed
298,2,2,400,100000,12,64,256,domains.ini,C,comparison,true,false,completed
299,2,2,400,100000,12,64,512,domains.ini,A,comparison,true,false,completed
300,2,2,400,100000,12,64,512,domains.ini,C,comparison,true,false,completed
301,2,2,400,100000,24,16,256,domains.ini,A,comparison,true,false,completed
302,2,2,400,100000,24,16,256,domains.ini,C,comparison,true,false,completed
303,2,2,400,100000,24,16,512,domains.ini,A,comparison,true,false,completed
304,2,2,400,100000,24,16,512,domains.ini,C,comparison,true,false,completed
305,2,2,400,100000,24,32,256,domains.ini,A,comparison,true,false,completed
306,2,2,400,100000,24,32,256,domains.ini,C,comparison,true,false,completed
307,2,2,400,100000,24,32,512,domains.ini,A,comparison,true,false,completed
308,2,2,400,100000,24,32,512,domains.ini,C,comparison,true,false,completed
309,2,2,400,100000,24,64,256,domains.ini,A,comparison,true,false,completed
310,2,2,400,100000,24,64,256,domains.ini,C,comparison,true,false,completed
311,2,2,400,100000,24,64,512,domains.ini,A,comparison,true,false,completed
312,2,2,400,100000,24,64,512,domains.ini,C,comparison,true,false,completed
313,2,2,400,100000,48,16,256,domains.ini,A,comparison,true,false,launched
314,2,2,400,100000,48,16,256,domains.ini,C,comparison,true,false,launched
315,2,2,400,100000,48,16,512,domains.ini,A,comparison,true,false,completed
316,2,2,400,100000,48,16,512,domains.ini,C,comparison,true,false,completed
317,2,2,400,100000,48,32,256,domains.ini,A,comparison,true,false,launched
318,2,2,400,100000,48,32,256,domains.ini,C,comparison,true,false,launched
319,2,2,400,100000,48,32,512,domains.ini,A,comparison,true,false,launched
320,2,2,400,100000,48,32,512,domains.ini,C,comparison,true,false,completed
321,2,2,400,100000,48,64,256,domains.ini,A,comparison,true,false,launched
322,2,2,400,100000,48,64,256,domains.ini,C,comparison,true,false,launched
323,2,2,400,100000,48,64,512,domains.ini,A,comparison,true,false,completed
324,2,2,400,100000,48,64,512,domains.ini,C,comparison,true,false,completed
325,2,2,400,400000,12,16,256,domains.ini,A,comparison,true,false,launched
326,2,2,400,400000,12,16,256,domains.ini,C,comparison,true,false,completed
327,2,2,400,400000,12,16,512,domains.ini,A,comparison,true,false,completed
328,2,2,400,400000,12,16,512,domains.ini,C,comparison,true,false,completed
329,2,2,400,400000,12,32,256,domains.ini,A,comparison,true,false,completed
330,2,2,400,400000,12,32,256,domains.ini,C,comparison,true,false,completed
331,2,2,400,400000,12,32,512,domains.ini,A,comparison,true,false,completed
332,2,2,400,400000,12,32,512,domains.ini,C,comparison,true,false,completed
333,2,2,400,400000,12,64,256,domains.ini,A,comparison,true,false,completed
334,2,2,400,400000,12,64,256,domains.ini,C,comparison,true,false,completed
335,2,2,400,400000,12,64,512,domains.ini,A,comparison,true,false,completed
336,2,2,400,400000,12,64,512,domains.ini,C,comparison,true,false,completed
337,2,2,400,400000,24,16,256,domains.ini,A,comparison,true,false,completed
338,2,2,400,400000,24,16,256,domains.ini,C,comparison,true,false,completed
339,2,2,400,400000,24,16,512,domains.ini,A,comparison,true,false,completed
340,2,2,400,400000,24,16,512,domains.ini,C,comparison,true,false,completed
341,2,2,400,400000,24,32,256,domains.ini,A,comparison,true,false,completed
342,2,2,400,400000,24,32,256,domains.ini,C,comparison,true,false,completed
343,2,2,400,400000,24,32,512,domains.ini,A,comparison,true,false,completed
344,2,2,400,400000,24,32,512,domains.ini,C,comparison,true,false,completed
345,2,2,400,400000,24,64,256,domains.ini,A,comparison,true,false,completed
346,2,2,400,400000,24,64,256,domains.ini,C,comparison,true,false,completed
347,2,2,400,400000,24,64,512,domains.ini,A,comparison,true,false,completed
348,2,2,400,400000,24,64,512,domains.ini,C,comparison,true,false,completed
349,2,2,400,400000,48,16,256,domains.ini,A,comparison,true,false,launched
350,2,2,400,400000,48,16,256,domains.ini,C,comparison,true,false,launched
351,2,2,400,400000,48,16,512,domains.ini,A,comparison,true,false,completed
352,2,2,400,400000,48,16,512,domains.ini,C,comparison,true,false,completed
353,2,2,400,400000,48,32,256,domains.ini,A,comparison,true,false,launched
354,2,2,400,400000,48,32,256,domains.ini,C,comparison,true,false,launched
355,2,2,400,400000,48,32,512,domains.ini,A,comparison,true,false,completed
356,2,2,400,400000,48,32,512,domains.ini,C,comparison,true,false,completed
357,2,2,400,400000,48,64,256,domains.ini,A,comparison,true,false,launched
358,2,2,400,400000,48,64,256,domains.ini,C,comparison,true,false,launched
359,2,2,400,400000,48,64,512,domains.ini,A,comparison,true,false,launched
360,2,2,400,400000,48,64,512,domains.ini,C,comparison,true,false,completed
361,2,4,400,100000,12,16,256,domains.ini,A,comparison,true,false,completed
362,2,4,400,100000,12,16,256,domains.ini,C,comparison,true,false,completed
363,2,4,400,100000,12,16,512,domains.ini,A,comparison,true,false,completed
364,2,4,400,100000,12,16,512,domains.ini,C,comparison,true,false,completed
365,2,4,400,100000,12,32,256,domains.ini,A,comparison,true,false,completed
366,2,4,400,100000,12,32,256,domains.ini,C,comparison,true,false,completed
